Movie Name,Date,Picked By,Phill Score,Jim Score,Jon Score ,Avg Rating,Release Year,IMDB Link,5 Star Rating,,,1242,1418,1286
Moonrise Kingdom,11/22/2021,Phill,7,6,4,6,2012,https://www.imdb.com/title/tt1748122/?ref_=nv_sr_srsg_0,3,No,,,,
Mandy,11/29/2021,Jim,3,8,3,5,2018,https://www.imdb.com/title/tt6998518/?ref_=nv_sr_srsg_3,2,No,,,,
Million Dollar Mystery,Jim's B-Day,Jim,5,7,6,6,1987,https://www.imdb.com/title/tt0093539/?ref_=nv_sr_srsg_0,3,No,,,,
8-bit Christmas ,12/6/2021,Jon,7,7,8,7,2021,https://www.imdb.com/title/tt11540284/?ref_=nv_sr_srsg_0,3,No,,,,
The Man Who Invented Christmas,12/13/2021,Phill,7,7,10,8,2017,https://www.imdb.com/title/tt6225520/?ref_=nv_sr_srsg_3,4,No,,,,
Trapped in Paradise,12/20/2021,Jim,4,7,5,5,1994,https://www.imdb.com/title/tt0111477/?ref_=nv_sr_srsg_0,2,No,,,,
Better Watch Out,12/27/2021,Jon,8,8,9,8,2016,https://www.imdb.com/title/tt4443658/?ref_=nv_sr_srsg_0,4,No,,,,
Iron Giant,1/3/2022,Phill,8,8,8,8,1999,https://www.imdb.com/title/tt0129167/?ref_=nv_sr_srsg_0,4,Yes,,,,
Ghostbusters Afterlife,1/10/2022,Jim,9,10,10,10,2021,https://www.imdb.com/title/tt4513678/?ref_=nv_sr_srsg_0,5,No,,,,
TMNT III,1/17/2022,Jon,6,7,7,7,1993,https://www.imdb.com/title/tt0108308/?ref_=fn_tt_tt_10,3,No,,,,
Son of Rambow,1/24/2022,Phill,5,5,6,5,2007,https://www.imdb.com/title/tt0845046/?ref_=nv_sr_srsg_0,2,No,,,,
Popcorn,1/31/2022,Jim,4,8,3,5,1991,https://www.imdb.com/title/tt0102690/?ref_=nv_sr_srsg_0,2,No,,,,
Bubba Ho-tep,2/7/2022,Jon,5,8,7,7,2002,https://www.imdb.com/title/tt0281686/?ref_=nv_sr_srsg_0,3,No,,,,
Eat Wheaties,2/14/2022,Phill,6,5,6,6,2020,https://www.imdb.com/title/tt10584340/?ref_=nv_sr_srsg_0,3,No,,,,
Sneakers,2/21/2022,Jim,7,7,6,7,1992,https://www.imdb.com/title/tt0105435/?ref_=nv_sr_srsg_0,3,No,,,,
Belfast,2/28/2022,Jon,7,5,6,6,2021,https://www.imdb.com/title/tt12789558/?ref_=nv_sr_srsg_0,3,No,,,,
The Old Man & The Gun,3/7/2022,Phill,6,6,5,6,2018,https://www.imdb.com/title/tt2837574/?ref_=nv_sr_srsg_3,3,No,,,,
Psycho Goreman,3/17/2022,Jim,7,8,7,7,2020,https://www.imdb.com/title/tt11252440/?ref_=nv_sr_srsg_0,3,No,,,,
Benny Loves You,3/21/2022,Jon,6,7,7,7,2019,https://www.imdb.com/title/tt3917506/?ref_=nv_sr_srsg_0,3,No,,,,
Jungle Cruise,3/28/2022,Phill,7,7,7,7,2021,https://www.imdb.com/title/tt0870154/?ref_=nv_sr_srsg_0,3,Yes,,,,
The Sword of the Valiant,4/4/2022,Jim,2,3,2,2,1984,https://www.imdb.com/title/tt0084750/?ref_=nv_sr_srsg_6,1,No,,,,
E.T. The Extra Terrestrial ,4/11/2022,Jon,8,8,9,8,1982,https://www.imdb.com/title/tt0083866/?ref_=nv_sr_srsg_3,4,No,,,,
Donnie Darko,4/18/2022,Phill,8,8,9,8,2001,https://www.imdb.com/title/tt0246578/?ref_=nv_sr_srsg_0,4,No,,,,
The Fifth Element,4/25/2022,Jim,7,8,7,7,1997,https://www.imdb.com/title/tt0119116/?ref_=nv_sr_srsg_0,3,No,,,,
The Voices,5/2/2022,Jon,7,7,9,8,2014,https://www.imdb.com/title/tt1567437/?ref_=nv_sr_srsg_0,4,No,,,,
Get Low,5/9/2022,Phill,8,8,8,8,2009,https://www.imdb.com/title/tt1194263/?ref_=nv_sr_srsg_0,4,Yes,,,,
Tremors,5/16/2022,Jim,7,7,8,7,1990,https://www.imdb.com/title/tt0100814/?ref_=nv_sr_srsg_0,3,No,,,,
Everything Everywhere All at Once,5/23/2022,Jon,7,9,7,8,2022,https://www.imdb.com/title/tt6710474/?ref_=nv_sr_srsg_0,4,No,,,,
Dark City,5/31/2022,Phill,7,6,7,7,1998,https://www.imdb.com/title/tt0118929/?ref_=nv_sr_srsg_0,3,No,,,,
The Silence of the Hams,6/7/2022,Jim,3,5,3,4,1994,https://www.imdb.com/title/tt0111190/?ref_=nv_sr_srsg_3,2,No,,,,
Freeway,6/14/2022,Jon,6,6,7,6,1996,https://www.imdb.com/title/tt0116361/?ref_=nv_sr_srsg_0,3,No,,,,
Explorers,6/21/2022,Phill,5,7,5,6,1985,https://www.imdb.com/title/tt0089114/?ref_=nv_sr_srsg_0,3,No,,,,
