Movie Name,Date,Picked By,Phill Score,Jim Score,Jon Score ,Avg Rating,Release Year,1333,@,TMDB_ID,Overview,Genres,Release Date,Vote Average,Vote Count,TMDb Link
Freddy Got Fingered,5/10/2021,jon,5.0,8.0,7.0,7,2001.0,,,13166,"Unemployed cartoonist Gord Brody moves back in with his parents Jim and Julie and younger brother Freddy. When his parents demand he leave, he retaliates by spreading rumors that Jim is sexually abusing Freddy.",Comedy,2001-04-20,4.654,402,https://www.themoviedb.org/movie/13166
Wanted,5/17/2021,phill,6.0,8.0,6.0,7,2008.0,,,8909,"Doormat Wesley Gibson discovers that his recently murdered father - who Wesley never knew - belonged to a secret guild of assassins. After a leather-clad sexpot drafts Wesley into the society, he hones his innate killing skills and turns avenger.","Action, Thriller, Crime",2008-06-19,6.517,6814,https://www.themoviedb.org/movie/8909
11 Harrowhouse,5/24/2021,jim,7.0,9.0,5.0,7,1974.0,,,42268,"A small time diamond merchant jumps at the chance to supervise the purchase and cutting of a large first class diamond. But when the diamond is stolen from him, he is blackmailed into pulling off a major heist at the Diamond Exchange, located at 11 Harrowhouse.","Drama, Action, Comedy, Crime",1974-09-26,5.7,23,https://www.themoviedb.org/movie/42268
Cut Bank,5/31/2021,jon,7.0,9.0,8.0,8,2014.0,,,276902,"25-year-old Dwayne McLaren, a former athlete turned auto mechanic, dreams of getting out of tiny Cut Bank, Montana the coldest town in America. But his effort to do so sets in motion a deadly series of events that change his life and the life of the town forever...","Crime, Drama, Mystery, Thriller",2014-10-04,5.735,311,https://www.themoviedb.org/movie/276902
Push,6/7/2021,phill,5.0,7.0,5.0,6,2009.0,,,13455,"After his father, an assassin, is brutally murdered, Nick Gant vows revenge on Division, the covert government agency that dabbles in psychic warfare and experimental drugs. Hiding in Hong Kong's underworld, Nick assembles a band of rogue psychics dedicated to destroying Division. Together with Cassie, a teenage clairvoyant, Nick goes in search of a missing girl and a stolen suitcase that could be the key to accomplishing their mutual goal.","Science Fiction, Action, Adventure, Thriller",2009-02-04,6.146,2210,https://www.themoviedb.org/movie/13455
The Amusement Park,6/14/2021,jim,1.0,3.0,1.0,2,1975.0,,,560981,An elderly gentleman sets out for what he thinks will be a normal day at an amusement park and is soon embroiled in a waking nightmare.,Horror,1975-03-23,6.2,91,https://www.themoviedb.org/movie/560981
Garbage Pail Kids The Movie,6/21/2021,jon,4.0,10.0,7.0,7,1987.0,,,14443,Seven disgusting kids but nevertheless of interesting personality are being made of the green mud coming out of garbage can. Once alive their master gives them rules to obey although they think that life is funnier without following stupid regulations like no television or no candy. Naturally this will cause some conflicts.,"Adventure, Science Fiction, Comedy, Family",1987-08-22,3.6,91,https://www.themoviedb.org/movie/14443
Salt,6/28/2021,phill,7.0,7.0,7.0,7,2010.0,,,27576,"As a CIA officer, Evelyn Salt swore an oath to duty, honor and country. Her loyalty will be tested when a defector accuses her of being a Russian spy. Salt goes on the run, using all her skills and years of experience as a covert operative to elude capture. Salt's efforts to prove her innocence only serve to cast doubt on her motives, as the hunt to uncover the truth behind her identity continues and the question remains: ""Who is Salt?""","Action, Mystery, Thriller",2010-07-21,6.414,5325,https://www.themoviedb.org/movie/27576
Fearstreet 94,7/5/2021,jim,7.0,7.0,5.0,6,2021.0,,,,,,,,,
Don Verdean,7/12/2021,jon,6.0,6.0,7.0,6,2015.0,,,309298,Biblical archaeologist Don Verdean is hired by a local church pastor to find faith-promoting relics in the Holy Land. But after a fruitless expedition he is forced to get creative in this comedy of faith and fraud.,Comedy,2015-12-01,4.8,115,https://www.themoviedb.org/movie/309298
Vicious Lips,Jon's B-Day,jon,2.0,3.0,2.0,2,1986.0,,,38134,"Sometime in the distant future, a fledgling band gets an opportunity for a breakthrough, if they can make it in time to a faraway planet to perform in a very popular club.","Comedy, Horror, Music, Science Fiction",1987-02-01,4.8,37,https://www.themoviedb.org/movie/38134
Defending Your Life,7/19/2021,phill,7.0,3.0,4.0,5,1991.0,,,12186,"Is there love after death? After he dies suddenly, the hapless advertising executive Daniel Miller finds himself in Judgment City, a gleaming way station where the newly deceased must prove they lived a life of sufficient courage to advance in their journey through the universe. As the self-doubting Daniel struggles to make his case, a budding relationship with the uninhibited Julia offers him a chance to finally feel alive.","Comedy, Fantasy, Romance",1991-03-22,7.0,254,https://www.themoviedb.org/movie/12186
State and Main,Phill's B-Day,phill,9.0,7.0,9.0,8,2000.0,,,21991,A movie crew invades a small town whose residents are all too ready to give up their values for showbiz glitz.,"Comedy, Drama",2000-08-26,6.328,203,https://www.themoviedb.org/movie/21991
In the Mouth of Madness,7/26/2021,jim,7.0,10.0,7.0,8,1994.0,,,2654,An insurance investigator begins discovering that the impact a horror writer's books have on his fans is more than inspirational.,"Horror, Thriller, Mystery",1995-02-03,7.201,1585,https://www.themoviedb.org/movie/2654
Fried Barry,8/2/2021,jon,5.0,10.0,8.0,8,2020.0,,,718558,"Barry is a drug-addled, abusive bastard who - after yet another bender - is abducted by aliens. Barry takes a backseat as an alien visitor assumes control of his body and takes it for a joyride through Cape Town. What follows is an onslaught of drugs, sex, and violence as our alien tourist enters the weird and wonderful world of humankind.","Horror, Comedy, Science Fiction",2020-03-06,5.0,66,https://www.themoviedb.org/movie/718558
Nobody,8/9/2021,phill,9.0,9.0,9.0,9,2021.0,,,615457,"Hutch Mansell, a suburban dad, overlooked husband, nothing neighbor — a ""nobody."" When two thieves break into his home one night, Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind.","Action, Thriller",2021-03-18,7.967,6813,https://www.themoviedb.org/movie/615457
New Mutants,8/16/2021,jim,6.0,6.0,5.0,6,2020.0,,,340102,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.","Science Fiction, Horror, Action, Mystery, Adventure",2020-04-02,6.1,3306,https://www.themoviedb.org/movie/340102
The Oak Room,8/23/2021,jon,5.0,8.0,7.0,7,2020.0,,,717021,"During a raging snowstorm, a drifter returns home to the blue-collar bar located in the remote Canadian town where he was born. When he offers to settle an old debt with a grizzled bartender by telling him a story, the night's events quickly spin into a dark tale of mistaken identities, double-crosses and shocking violence.","Thriller, Horror, Mystery",2020-11-27,5.595,42,https://www.themoviedb.org/movie/717021
News of the World,8/30/2021,phill,6.0,5.0,7.0,6,2020.0,,,581032,"A Texan traveling across the wild West bringing the news of the world to local townspeople, agrees to help rescue a young girl who was kidnapped.","Drama, Western, Adventure",2020-12-25,6.971,1692,https://www.themoviedb.org/movie/581032
The Adventures of Sherlock Holmes' Smarter Brother,9/6/2021,jim,6.0,8.0,6.0,7,1975.0,,,29859,"After spending decades living in the shadow of his more famous and successful sibling, Consulting Detective Sigerson Holmes (Wilder) is called upon to help solve a crucial case that leads him on a hilarious trail of false identities, stolen documents, secret codes... and exposed backsides.","Comedy, Crime, Mystery",1975-12-14,5.983,144,https://www.themoviedb.org/movie/29859
The Drop,9/13/2021,jon,8.0,8.0,8.0,8,2014.0,,,154400,"Bob Saginowski finds himself at the center of a robbery gone awry and entwined in an investigation that digs deep into the neighborhood's past where friends, families, and foes all work together to make a living - no matter the cost.","Drama, Crime",2014-09-12,6.772,2099,https://www.themoviedb.org/movie/154400
Ghost in the Shell (2017),9/20/2021,phill,4.0,4.0,4.0,4,2017.0,,,,,,,,,
Hysterical,9/27/2021,jim,2.0,3.0,3.0,3,1982.0,,,804024,"An honest and hilarious backstage pass into the lives of some of stand-up comedy’s most boundary-breaking women, exploring the hard-fought journey to become the voices of their generation and their gender.",Documentary,2021-03-20,6.2,8,https://www.themoviedb.org/movie/804024
The House that Jack Built,10/4/2021,jon,5.0,6.0,7.0,6,2018.0,,,398173,"Failed architect, engineer and vicious murderer Jack narrates the details of some of his most elaborately orchestrated crimes, each of them a towering piece of art that defines his life's work as a serial killer for twelve years.","Drama, Horror, Crime, Thriller",2018-07-05,7.146,2636,https://www.themoviedb.org/movie/398173
The Mortuary Collection,10/11/2021,phill,8.0,7.0,6.0,7,2019.0,,,524216,"In the phantasmagorical town of Raven's End, a misguided young girl takes refuge in a decrepit old mortuary. The eccentric undertaker chronicles the strange history of the town through a series of twisted tales, each more terrifying than the last, but the young girl's world is unhinged when she discovers that the final story... is her own.","Fantasy, Horror",2020-09-25,6.726,406,https://www.themoviedb.org/movie/524216
Pontypool,10/18/2021,jim,6.0,8.0,5.0,6,2008.0,,,23963,"When disc jockey Grant Mazzy reports to his basement radio station in the Canadian town of Pontypool, he thinks it's just another day at work. But when he hears reports of a virus that turns people into zombies, Mazzy barricades himself in the radio booth and tries to figure out a way to warn his listeners about the virus and its unlikely mode of transmission.","Horror, Mystery, Science Fiction",2009-03-06,6.458,591,https://www.themoviedb.org/movie/23963
Summer of Blood,10/25/2021,jon,4.0,4.0,4.0,4,2014.0,,,265449,Lousy lover and egocentric Eric Sparrow is dumped by his girlfriend after rejecting her marital proposal. After a few failed dates his luck turns when a chance encounter with a vampire turns him into a sex god.,"Horror, Comedy",2014-10-17,4.8,32,https://www.themoviedb.org/movie/265449
Freaky,11/1/2021,phill,7.0,7.0,7.0,7,2020.0,,,551804,"A mystical, ancient dagger causes a notorious serial killer to magically switch bodies with a 17-year-old girl.","Comedy, Horror, Thriller",2020-11-12,6.572,1558,https://www.themoviedb.org/movie/551804
Clockwise,11/8/2021,jim,4.0,7.0,3.0,5,1986.0,,,11938,An uncompromising British school headmaster finds himself beset by one thing going wrong after another.,Comedy,1986-03-01,6.3,181,https://www.themoviedb.org/movie/11938
Postal,11/15/2021,jon,4.0,5.0,4.0,4,2007.0,,,2728,"The story begins with a regular Joe who tries desperately to seek employment, but embarks on a violent rampage when he teams up with cult leader Uncle Dave. Their first act is to heist an amusement park, only to learn that the Taliban are planning the same heist as well. Chaos ensues, and now the Postal Dude must not only take on terrorists but also political figures.","Comedy, Action, Crime, Adventure, Thriller",2007-10-18,4.607,323,https://www.themoviedb.org/movie/2728
Moonrise Kingdom,11/22/2021,phill,7.0,6.0,4.0,6,2012.0,,,83666,"Set on an island off the coast of New England in the summer of 1965, Moonrise Kingdom tells the story of two twelve-year-olds who fall in love, make a secret pact, and run away together into the wilderness. As various authorities try to hunt them down, a violent storm is brewing off-shore – and the peaceful island community is turned upside down in more ways than anyone can handle.","Comedy, Drama, Romance",2012-05-16,7.7,5691,https://www.themoviedb.org/movie/83666
Mandy,11/29/2021,jim,3.0,8.0,3.0,5,2018.0,,,460885,"The Shadow Mountains, 1983. Red and Mandy lead a loving and peaceful existence; but when their pine-scented haven is savagely destroyed, Red is catapulted into a phantasmagoric journey filled with bloody vengeance and laced with fire.","Fantasy, Action, Horror",2018-09-13,6.195,1832,https://www.themoviedb.org/movie/460885
Million Dollar Mystery,Jim's B-Day,jim,5.0,7.0,6.0,6,1987.0,,,84499,"A dying man in a roadside diner tells the other patrons about money he has hidden in four places.  But instead of directions, he leaves them only with clues they must solve in order to claim the loot. Released with a promotional tie-in for Glad-Lock brand bags.","Comedy, Thriller",1987-06-12,4.6,11,https://www.themoviedb.org/movie/84499
8-bit Christmas ,12/6/2021,jon,7.0,7.0,8.0,7,2021.0,,,802217,"In suburban Chicago during the late 1980s, ten-year-old Jake Doyle embarks on a herculean quest to get the latest and greatest video game system for Christmas.","Family, Comedy, Fantasy",2021-11-24,6.364,361,https://www.themoviedb.org/movie/802217
The Man Who Invented Christmas,12/13/2021,phill,7.0,7.0,10.0,8,2017.0,,,450322,"In 1843, despite the fact that Dickens is a successful writer, the failure of his latest book puts his career at a crossroads, until the moment when, struggling with inspiration and confronting reality with his childhood memories, a new character is born in the depths of his troubled mind; an old, lonely, embittered man, so vivid, so human, that a whole world grows around him, a story so inspiring that changed the meaning of Christmas forever.","Drama, History, Comedy, Family",2017-10-12,6.849,772,https://www.themoviedb.org/movie/450322
Trapped in Paradise,12/20/2021,jim,4.0,7.0,5.0,5,1994.0,,,23719,Residents of a friendly Pennsylvania town foil three brothers' plan to rob a bank on Christmas Eve.,"Action, Comedy",1994-12-02,5.601,230,https://www.themoviedb.org/movie/23719
Better Watch Out,12/27/2021,jon,8.0,8.0,9.0,8,2016.0,,,406994,"On a quiet suburban street tucked within a 'safe neighborhood', a babysitter must defend a twelve-year-old boy from strangers breaking into the house, only to discover that this is far from a normal home invasion.","Comedy, Horror, Thriller",2017-10-06,6.686,1439,https://www.themoviedb.org/movie/406994
Iron Giant,1/3/2022,phill,8.0,8.0,8.0,8,1999.0,,,10386,"In the small town of Rockwell, Maine in October 1957, a giant metal machine befriends a nine-year-old boy and ultimately finds its humanity by unselfishly saving people from their own fears and prejudices.","Family, Animation, Science Fiction, Adventure",1999-08-06,7.942,5399,https://www.themoviedb.org/movie/10386
Ghostbusters Afterlife,1/10/2022,jim,9.0,10.0,10.0,10,2021.0,,,425909,"When single mom Callie and her two kids Trevor and Phoebe arrive in a small Oklahoma town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.","Fantasy, Comedy, Adventure, Science Fiction",2021-11-18,7.4,4414,https://www.themoviedb.org/movie/425909
TMNT III,1/17/2022,jon,6.0,7.0,7.0,7,1993.0,,,,,,,,,
Son of Rambow,1/24/2022,phill,5.0,5.0,6.0,5,2007.0,,,13258,"Will is looking for an escape from his family when he encounters Lee, the school bully. Armed with a video camera and a copy of Rambo, Lee plans to make his own action-packed video epic.",Comedy,2007-01-22,6.73,434,https://www.themoviedb.org/movie/13258
Popcorn,1/31/2022,jim,4.0,8.0,3.0,5,1991.0,,,39875,"While holding a horror film festival, a group of film students find themselves stalked by a madman who may have a sinister connection to a cult leader.","Comedy, Horror",1991-02-01,5.679,131,https://www.themoviedb.org/movie/39875
Bubba Ho-tep,2/7/2022,jon,5.0,8.0,7.0,7,2002.0,,,9707,"Bubba Ho-tep tells the ""true"" story of what really did become of Elvis Presley. We find Elvis as an elderly resident in an East Texas rest home, who switched identities with an Elvis impersonator years before his ""death,"" then missed his chance to switch back. He must team up with JFK and fight an ancient Egyptian mummy for the souls of their fellow residents.","Comedy, Horror, Thriller, Mystery, Fantasy",2002-06-09,6.54,582,https://www.themoviedb.org/movie/9707
Eat Wheaties,2/14/2022,phill,6.0,5.0,6.0,6,2020.0,,,659551,"Sid Straw leads a dull life until he accidentally stalks famous college friend, Elizabeth Banks, on social media. With each failed attempt to prove he knows her, he rediscovers more of himself and the true meaning of friendship.","Comedy, Drama",2020-09-25,5.5,18,https://www.themoviedb.org/movie/659551
Sneakers,2/21/2022,jim,7.0,7.0,6.0,7,1992.0,,,2322,"When shadowy U.S. intelligence agents blackmail a reformed computer hacker and his eccentric team of security experts into stealing a code-breaking 'black box' from a Soviet-funded genius, they uncover a bigger conspiracy. Now, he and his 'sneakers' must save themselves and the world economy by retrieving the box from their blackmailers.","Comedy, Crime, Drama",1992-09-09,6.9,871,https://www.themoviedb.org/movie/2322
Belfast,2/28/2022,jon,7.0,5.0,6.0,6,2021.0,,,777270,"Buddy is a young boy on the cusp of adolescence, whose life is filled with familial love, childhood hijinks, and a blossoming romance. Yet, with his beloved hometown caught up in increasing turmoil, his family faces a momentous choice: hope the conflict will pass or leave everything they know behind for a new life.","Drama, History",2021-11-12,7.091,1432,https://www.themoviedb.org/movie/777270
The Old Man & The Gun,3/7/2022,phill,6.0,6.0,5.0,6,2018.0,,,429203,"The true story of Forrest Tucker, from his audacious escape from San Quentin at the age of 70 to an unprecedented string of heists that confounded authorities and enchanted the public. Wrapped up in the pursuit are a detective, who becomes captivated with Forrest’s commitment to his craft, and a woman, who loves him in spite of his chosen profession.","Comedy, Crime, Drama",2018-09-27,6.424,1355,https://www.themoviedb.org/movie/429203
Psycho Goreman,3/17/2022,jim,7.0,8.0,7.0,7,2020.0,,,670428,"Siblings Mimi and Luke unwittingly resurrect an ancient alien overlord. Using a magical amulet, they force the monster to obey their childish whims, and accidentally attract a rogues’ gallery of intergalactic assassins to small-town suburbia.","Science Fiction, Comedy, Horror",2020-10-29,6.0,334,https://www.themoviedb.org/movie/670428
Benny Loves You,3/21/2022,jon,6.0,7.0,7.0,7,2019.0,,,647302,"Jack, a man desperate to improve his life, throws away his beloved childhood plush, Benny. It’s a move that has disastrous consequences when Benny springs to life with deadly intentions!","Horror, Comedy",2019-11-21,5.9,205,https://www.themoviedb.org/movie/647302
Jungle Cruise,3/28/2022,phill,7.0,7.0,7.0,7,2021.0,,,451048,"Dr. Lily Houghton enlists the aid of wisecracking skipper Frank Wolff to take her down the Amazon in his dilapidated boat. Together, they search for an ancient tree that holds the power to heal – a discovery that will change the future of medicine.","Action, Adventure, Fantasy",2021-07-28,7.379,5521,https://www.themoviedb.org/movie/451048
The Sword of the Valiant,4/4/2022,jim,2.0,3.0,2.0,2,1984.0,,,30584,"Gawain was a squire in King Arthur's court when the Green Knight burst in and offered to play a game with a brave knight. Gawain journeys across the land, learning about life, saving damsels, and solving the Green Knight's riddle.","Adventure, Fantasy",1984-08-17,5.3,50,https://www.themoviedb.org/movie/30584
E.T. The Extra Terrestrial ,4/11/2022,jon,8.0,8.0,9.0,8,1982.0,,,601,"An alien is left behind on Earth and saved by the 10-year-old Elliot who decides to keep him hidden in his home. While a task force hunts for the extra-terrestrial, Elliot, his brother, and his little sister Gertie form an emotional bond with their new friend, and try to help him find his way home.","Science Fiction, Adventure, Family, Fantasy",1982-06-11,7.518,10940,https://www.themoviedb.org/movie/601
Donnie Darko,4/18/2022,phill,8.0,8.0,9.0,8,2001.0,,,141,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.","Fantasy, Drama, Mystery",2001-01-19,7.78,12127,https://www.themoviedb.org/movie/141
The Fifth Element,4/25/2022,jim,7.0,8.0,7.0,7,1997.0,,,18,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.","Adventure, Fantasy, Action, Thriller, Science Fiction",1997-05-02,7.549,10463,https://www.themoviedb.org/movie/18
The Voices,5/2/2022,jon,7.0,7.0,9.0,8,2014.0,,,244458,"A mentally unhinged factory worker must decide whether to listen to his talking cat and become a killer, or follow his dog's advice to keep striving for normalcy.","Comedy, Crime, Horror, Fantasy",2014-01-19,6.239,1700,https://www.themoviedb.org/movie/244458
Get Low,5/9/2022,phill,8.0,8.0,8.0,8,2009.0,,,44718,"A movie spun out of equal parts folk tale, fable and real-life legend about the mysterious, 1930s Tennessee hermit who famously threw his own rollicking funeral party... while he was still alive.","Drama, Mystery, Comedy",2010-07-30,6.708,281,https://www.themoviedb.org/movie/44718
Tremors,5/16/2022,jim,7.0,7.0,8.0,7,1990.0,,,9362,"Val McKee and Earl Bassett are in a fight for their lives when they discover that their desolate town has been infested with gigantic, man-eating creatures that live below the ground.","Horror, Action, Science Fiction, Comedy",1990-01-19,6.897,3125,https://www.themoviedb.org/movie/9362
Everything Everywhere All at Once,5/23/2022,jon,7.0,9.0,7.0,8,2022.0,,,545611,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes.","Action, Adventure, Science Fiction",2022-03-24,7.785,6153,https://www.themoviedb.org/movie/545611
Dark City,5/31/2022,phill,7.0,6.0,7.0,7,1998.0,,,2666,"A man struggles with memories of his past, including a wife he cannot remember, in a nightmarish world with no sun and run by beings with telekinetic powers who seek the souls of humans.","Mystery, Science Fiction",1998-02-27,7.325,2712,https://www.themoviedb.org/movie/2666
The Silence of the Hams,6/7/2022,jim,3.0,5.0,3.0,4,1994.0,,,10450,"The federal agent Joe Dee Foster is currently investigating a serial killer, helped by doctor Animal who is isolated in a maximum security jail.","Thriller, Comedy",1994-03-11,4.9,175,https://www.themoviedb.org/movie/10450
Freeway,6/14/2022,jon,6.0,6.0,7.0,6,1996.0,,,11229,"Following the arrest of her mother, Ramona, young Vanessa Lutz decides to go in search of her estranged grandmother. On the way, she is given a ride by school counselor Bob Wolverton. During the journey, Lutz begins to realize that Bob is the notorious I-5 Killer and manages to escape by shooting him several times. Wounded but still very much alive, Bob pursues Lutz across the state in this modern retelling of Little Red Riding Hood.","Comedy, Crime, Thriller",1996-08-23,6.455,355,https://www.themoviedb.org/movie/11229
Explorers,6/21/2022,phill,5.0,7.0,5.0,6,1985.0,,,9872,"Middle schooler Ben spends his free time watching sci-fi films, playing video games and reading comic books. Surprisingly, his affinity for all things fantastical yields a real result – when he has a vivid dream about technology, his prodigy best friend Wolfgang manages to create a working spacecraft. Joined by their buddy Darren, the boys take off into outer space and encounter some very odd extraterrestrial life.","Family, Science Fiction, Fantasy",1985-07-12,6.2,435,https://www.themoviedb.org/movie/9872
The Dream Team,6/28/2022,jim,7.0,7.0,7.0,7,1989.0,,,14550,"Four mental patients on a field trip in New York City must save their caring chaperone, who ends up being taken to a hospital in a coma after accidentally witnessing a murder, before the killers can find him and finish the job.","Comedy, Crime, Thriller",1989-04-07,6.1,214,https://www.themoviedb.org/movie/14550
Beavis and Butthead Do the Universe,Jon's B-day,jon,8.0,8.0,10.0,9,2022.0,,,828947,"In 1998, Beavis and Butt-Head are sentenced to Space Camp by a “creative” judge. Their obsession with a docking simulator (huh huh) leads to a trip on the Space Shuttle, with predictably disastrous results. After going through a black hole, they re-emerge in our time, where they look for love, misuse iPhones, and are hunted by the Deep State. Spoiler: They don’t score.","Animation, Comedy, Science Fiction",2022-06-23,7.0,200,https://www.themoviedb.org/movie/828947
Revealer,7/5/2022,jon,3.0,2.0,3.0,3,2022.0,,,884882,Tensions rise when a stripper and religious protester are trapped together in a peep show booth and must come together to survive the apocalypse in 1980s Chicago.,Horror,2022-06-23,5.3,16,https://www.themoviedb.org/movie/884882
The Natural,Phil's B-day,phill,10.0,8.0,7.0,8,1984.0,,,11393,An unknown middle-aged batter named Roy Hobbs with a mysterious past appears out of nowhere to take a losing 1930s baseball team to the top of the league.,Drama,1984-05-11,6.895,571,https://www.themoviedb.org/movie/11393
