Movie Name,Date,Picked By,Phill Score,Jim Score,Jon Score ,Avg Rating,Release Year,1333,@,TMDB_ID,Overview,Genres,Release Date,Vote Average,Vote Count,TMDb Link
Remo Williams,7/12/2022,phill,7.0,7.0,6.0,7,1985.0,,,10553,"An officially ""dead"" cop is trained to become an extraordinary unique assassin in service of the U.S. President.","Comedy, Action, Adventure",1985-10-11,6.256,241,https://www.themoviedb.org/movie/10553
Villians,7/19/2022,jim,7.0,6.0,6.0,6,2019.0,,,340739,"A rural magistracy encounters three scourges that threaten destruction to the entire village: a fierce tiger, a demonic dragon and a criminal convict fugitive who turns out to be the only hope for salvation to defeat the other two evils.","Fantasy, Adventure",1969-01-01,0.0,0,https://www.themoviedb.org/movie/340739
Strawberry Mansion,7/26/2022,jon,6.0,6.0,5.0,6,2021.0,,,776561,"In the not-too-distant future, an all-seeing surveillance state conducts “dream audits” to collect taxes on the unconscious lives of the populace. Mild-mannered government agent James Preble travels to a remote farmhouse to audit the dreams of Arabella “Bella” Isadora, an eccentric, aging artist. Entering Bella’s vast VHS archive, which contains a lifetime of dreams, Preble stumbles upon a secret that offers him a chance at love—and hope for escape.","Fantasy, Science Fiction, Adventure",2021-07-22,6.772,46,https://www.themoviedb.org/movie/776561
The Dry,8/2/2022,phill,7.0,7.0,7.0,7,2020.0,,,567797,Aaron Falk returns to his drought-stricken hometown to attend a tragic funeral. But his return opens a decades-old wound - the unsolved death of a teenage girl.,"Crime, Thriller, Mystery",2021-01-01,6.797,607,https://www.themoviedb.org/movie/567797
The Stuff,8/9/2022,jim,3.0,7.0,5.0,5,1985.0,,,18502,"Amalgamated Dairies hires David Rutherford, an FBI man turned industrial saboteur, to investigate a popular new product called “the Stuff,” a new dessert product that is blowing ice cream sales out of the water. Nobody knows how it’s made or what’s in it, but people are lining up to buy it. It's got a delicious flavor to die for!","Horror, Science Fiction, Comedy",1985-06-14,5.898,430,https://www.themoviedb.org/movie/18502
Vengeance,8/16/2022,jon,9.0,7.0,10.0,9,2022.0,,,683340,A journalist and podcaster from New York City travels to West Texas in order to report on the death of a girl he was hooking up with.,"Thriller, Mystery, Comedy",2022-07-29,6.62,333,https://www.themoviedb.org/movie/683340
The Northman,8/23/2022,phill,7.0,7.0,4.0,6,2022.0,,,639933,"Prince Amleth is on the verge of becoming a man when his father is brutally murdered by his uncle, who kidnaps the boy's mother. Two decades later, Amleth is now a Viking who's on a mission to save his mother, kill his uncle and avenge his father.","Action, Adventure, Fantasy",2022-04-07,7.061,4079,https://www.themoviedb.org/movie/639933
The Black Phone,8/30/2022,jim,7.0,8.0,8.0,8,2021.0,,,756999,"Finney Blake, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney.","Horror, Thriller",2022-06-22,7.618,4671,https://www.themoviedb.org/movie/756999
What Josiah Saw,9/6/2022,jon,5.0,6.0,6.0,6,2021.0,,,696605,A family with buried secrets reunite at a farmhouse after two decades to pay for their past sins.,"Horror, Thriller",2021-08-13,5.907,54,https://www.themoviedb.org/movie/696605
The Rocketeer,9/13/2022,phill,6.0,7.0,6.0,6,1991.0,,,10249,"A stunt pilot comes across a prototype jetpack that gives him the ability to fly. However, evil forces of the world also want this jetpack at any cost.","Action, Adventure, Science Fiction, Family",1991-06-21,6.481,895,https://www.themoviedb.org/movie/10249
